                 Class     Images  Instances	   P          R          mAP50	  mAP50-95
                   all       4116       4116      0.367      0.465      0.396      0.339
         Affenpinscher       4116         20      0.311       0.45      0.358        0.3
          Afghan_hound       4116         56      0.605      0.679       0.68      0.595
   African_hunting_dog       4116         31      0.382      0.452      0.399      0.322
              Airedale       4116         45      0.306      0.422      0.363      0.315
American_Staffordshire_terrier       4116         34       0.21      0.164      0.134      0.114
           Appenzeller       4116         29      0.298      0.448       0.24      0.197
    Australian_terrier       4116         43      0.292      0.537      0.346      0.303
               Basenji       4116         44       0.47      0.403       0.37      0.284
                Basset       4116         32      0.293      0.388      0.336      0.269
                Beagle       4116         41      0.183      0.235      0.143      0.107
    Bedlington_terrier       4116         44      0.489      0.659      0.643      0.592
  Bernese_mountain_dog       4116         45       0.49      0.711      0.618      0.521
Black-and-tan_coonhound       4116         31      0.461       0.71      0.669      0.622
      Blenheim_spaniel       4116         44      0.413      0.659      0.544      0.472
            Bloodhound       4116         42      0.394      0.418      0.367      0.318
              Bluetick       4116         37       0.47      0.432      0.396      0.328
         Border_collie       4116         31      0.369      0.419      0.453      0.408
        Border_terrier       4116         26      0.188      0.615      0.314      0.246
                Borzoi       4116         27      0.557      0.407      0.469      0.416
           Boston_bull       4116         35      0.472      0.663      0.555      0.413
  Bouvier_des_Flandres       4116         38      0.705      0.447      0.567      0.513
                 Boxer       4116         24      0.203      0.208      0.159      0.135
     Brabancon_griffon       4116         31      0.263      0.368      0.325      0.276
                Briard       4116         34      0.424      0.206       0.26      0.231
      Brittany_spaniel       4116         34       0.32      0.235      0.302      0.264
          Bull_mastiff       4116         42      0.425      0.452      0.398      0.314
                 Cairn       4116         43      0.229      0.395      0.259      0.225
              Cardigan       4116         21      0.282      0.381      0.323       0.28
Chesapeake_Bay_retriever       4116         40      0.343        0.4      0.306       0.26
             Chihuahua       4116         30      0.415       0.19      0.235      0.179
                  Chow       4116         46       0.42      0.652      0.563      0.493
               Clumber       4116         27      0.371      0.556      0.376      0.318
        Cocker_spaniel       4116         28      0.153      0.179      0.113      0.101
                Collie       4116         20      0.207        0.3      0.278      0.269
Curly-coated_retriever       4116         24      0.264      0.458      0.454      0.409
        Dandie_Dinmont       4116         46      0.469       0.37      0.381      0.314
                 Dhole       4116         29      0.461      0.483      0.385      0.299
                 Dingo       4116         33      0.288      0.394      0.256      0.212
              Doberman       4116         30      0.363        0.5      0.427      0.338
      English_foxhound       4116         37      0.517      0.676      0.593      0.533
        English_setter       4116         31      0.401       0.29      0.299      0.258
      English_springer       4116         36      0.493        0.5      0.467      0.407
           EntleBucher       4116         31      0.234      0.581      0.425      0.402
            Eskimo_dog       4116         33       0.24      0.212      0.186      0.157
 Flat-coated_retriever       4116         22      0.403      0.545      0.399      0.343
        French_bulldog       4116         26      0.244      0.347      0.293      0.251
       German_shepherd       4116         31      0.404      0.516      0.452      0.418
German_short-haired_pointer       4116         20      0.147       0.45      0.192       0.18
       Giant_schnauzer       4116         33      0.339      0.152      0.154      0.141
      Golden_retriever       4116         32      0.421      0.432      0.458      0.436
         Gordon_setter       4116         29      0.434      0.517      0.509      0.364
            Great_Dane       4116         23      0.242      0.217      0.192      0.139
        Great_Pyrenees       4116         40      0.317       0.36      0.342      0.288
Greater_Swiss_Mountain_dog       4116         37      0.397      0.641      0.398      0.326
           Groenendael       4116         29      0.556      0.655      0.717      0.609
          Ibizan_hound       4116         32      0.446      0.719      0.644      0.544
          Irish_setter       4116         31      0.319      0.355      0.409       0.36
         Irish_terrier       4116         33      0.296      0.424      0.272      0.234
   Irish_water_spaniel       4116         27       0.43      0.741      0.551      0.483
       Irish_wolfhound       4116         45       0.27      0.214      0.187      0.146
     Italian_greyhound       4116         45      0.265      0.244      0.214      0.165
      Japanese_spaniel       4116         32       0.41      0.719      0.586      0.496
              Keeshond       4116         28      0.335      0.679      0.469      0.413
                Kelpie       4116         42      0.254       0.19      0.237      0.213
    Kerry_blue_terrier       4116         36      0.468       0.66      0.509      0.451
              Komondor       4116         34      0.434      0.588      0.609      0.545
                Kuvasz       4116         29      0.428      0.448      0.418      0.377
    Labrador_retriever       4116         34      0.264      0.294      0.299      0.261
      Lakeland_terrier       4116         36       0.31      0.417      0.293      0.262
              Leonberg       4116         36      0.494       0.75      0.636      0.552
                 Lhasa       4116         32      0.221        0.5      0.179      0.157
              Malamute       4116         29      0.216      0.207      0.177      0.144
              Malinois       4116         30      0.401      0.467      0.357      0.314
           Maltese_dog       4116         56      0.441      0.696      0.512      0.418
      Mexican_hairless       4116         35      0.581      0.657      0.679      0.591
    Miniature_pinscher       4116         43      0.393      0.698      0.527      0.397
      Miniature_poodle       4116         25      0.162       0.32      0.136      0.129
   Miniature_schnauzer       4116         39      0.587      0.147      0.245      0.206
          Newfoundland       4116         30      0.322      0.433      0.279      0.263
       Norfolk_terrier       4116         36      0.267      0.361        0.3      0.272
    Norwegian_elkhound       4116         45      0.613      0.622      0.617      0.557
       Norwich_terrier       4116         46      0.341      0.652        0.4      0.336
  Old_English_sheepdog       4116         28      0.461      0.429      0.448      0.386
