,Class,Images,Instances,P,R,mAP50,mAP50-95
0,Groenendael,4116,29,0.59,0.69,0.764,0.654
1,Papillon,4116,38,0.539,0.868,0.751,0.653
2,Pomeranian,4116,44,0.557,0.818,0.749,0.626
3,Afghan_hound,4116,56,0.693,0.724,0.739,0.651
4,Samoyed,4116,44,0.67,0.727,0.733,0.665
5,Sussex_spaniel,4116,35,0.51,0.714,0.718,0.652
6,Rottweiler,4116,30,0.622,0.7,0.717,0.6
7,Mexican_hairless,4116,35,0.656,0.714,0.71,0.623
8,Leonberg,4116,36,0.529,0.778,0.701,0.611
9,Bedlington_terrier,4116,44,0.547,0.682,0.698,0.623
10,Bernese_mountain_dog,4116,45,0.58,0.622,0.698,0.588
11,Komondor,4116,34,0.615,0.657,0.685,0.623
12,Japanese_spaniel,4116,32,0.511,0.719,0.672,0.569
13,Ibizan_hound,4116,32,0.516,0.688,0.665,0.555
14,Scottish_deerhound,4116,48,0.581,0.636,0.661,0.581
15,Irish_water_spaniel,4116,27,0.385,0.815,0.66,0.573
16,Norwegian_elkhound,4116,45,0.609,0.578,0.657,0.599
17,Scotch_terrier,4116,33,0.596,0.727,0.652,0.557
18,Black-and-tan_coonhound,4116,31,0.523,0.677,0.651,0.606
19,English_foxhound,4116,37,0.518,0.595,0.642,0.563
20,Blenheim_spaniel,4116,44,0.507,0.636,0.628,0.536
21,West_Highland_white_terrier,4116,24,0.417,0.708,0.627,0.519
22,Schipperke,4116,30,0.558,0.667,0.619,0.489
23,Otterhound,4116,33,0.592,0.572,0.603,0.535
24,Shetland_sheepdog,4116,31,0.514,0.613,0.602,0.47
25,Sealyham_terrier,4116,38,0.572,0.5,0.593,0.512
26,Chow,4116,46,0.487,0.639,0.576,0.511
27,Kerry_blue_terrier,4116,36,0.486,0.778,0.56,0.512
28,Saint_Bernard,4116,41,0.502,0.463,0.556,0.496
29,English_springer,4116,36,0.591,0.602,0.553,0.47
30,Maltese_dog,4116,56,0.627,0.607,0.553,0.453
31,Bouvier_des_Flandres,4116,38,0.566,0.5,0.542,0.484
32,Keeshond,4116,28,0.404,0.679,0.533,0.476
33,Gordon_setter,4116,29,0.59,0.546,0.532,0.413
34,Tibetan_terrier,4116,36,0.449,0.453,0.531,0.471
35,Miniature_pinscher,4116,43,0.448,0.558,0.527,0.385
36,Pembroke,4116,28,0.39,0.643,0.526,0.443
37,Kuvasz,4116,29,0.446,0.414,0.511,0.466
38,Boston_bull,4116,35,0.408,0.629,0.508,0.386
39,Golden_retriever,4116,32,0.445,0.375,0.495,0.471
40,Borzoi,4116,27,0.538,0.389,0.494,0.432
41,Flat-coated_retriever,4116,22,0.388,0.577,0.492,0.395
42,Weimaraner,4116,41,0.437,0.585,0.491,0.383
43,Clumber,4116,27,0.516,0.552,0.477,0.416
44,Norwich_terrier,4116,46,0.448,0.587,0.472,0.393
45,Bull_mastiff,4116,42,0.448,0.5,0.471,0.368
46,Border_collie,4116,31,0.453,0.452,0.47,0.424
47,Old_English_sheepdog,4116,28,0.537,0.429,0.469,0.398
48,Toy_poodle,4116,29,0.428,0.483,0.461,0.418
49,Pekinese,4116,28,0.462,0.429,0.461,0.365
50,Irish_setter,4116,31,0.421,0.387,0.459,0.398
51,Wire-haired_fox_terrier,4116,22,0.371,0.409,0.456,0.424
52,Bloodhound,4116,42,0.437,0.405,0.454,0.394
53,Vizsla,4116,44,0.395,0.545,0.453,0.4
54,German_shepherd,4116,31,0.399,0.484,0.451,0.409
55,Australian_terrier,4116,43,0.351,0.512,0.44,0.359
56,Curly-coated_retriever,4116,24,0.262,0.429,0.438,0.403
57,all,4116,4116,0.411,0.455,0.434,0.371
58,Greater_Swiss_Mountain_dog,4116,37,0.461,0.622,0.432,0.354
59,Bluetick,4116,37,0.507,0.405,0.429,0.363
60,Tibetan_mastiff,4116,24,0.369,0.458,0.427,0.385
61,Basenji,4116,44,0.551,0.531,0.418,0.328
62,Walker_hound,4116,34,0.393,0.382,0.416,0.369
63,Dhole,4116,29,0.369,0.448,0.416,0.324
64,Dandie_Dinmont,4116,46,0.567,0.314,0.414,0.346
65,Border_terrier,4116,26,0.267,0.713,0.409,0.294
66,EntleBucher,4116,31,0.286,0.581,0.408,0.384
67,Affenpinscher,4116,20,0.381,0.45,0.402,0.346
68,Brabancon_griffon,4116,31,0.289,0.516,0.399,0.341
69,Doberman,4116,30,0.335,0.4,0.396,0.308
70,African_hunting_dog,4116,31,0.421,0.452,0.394,0.32
71,Siberian_husky,4116,39,0.459,0.41,0.391,0.352
72,Silky_terrier,4116,37,0.373,0.432,0.39,0.339
73,Shih-Tzu,4116,43,0.36,0.488,0.386,0.32
74,Saluki,4116,43,0.452,0.419,0.385,0.331
75,Great_Pyrenees,4116,40,0.401,0.375,0.384,0.319
76,French_bulldog,4116,26,0.317,0.385,0.38,0.323
77,Airedale,4116,45,0.326,0.463,0.38,0.326
78,Chesapeake_Bay_retriever,4116,40,0.359,0.425,0.378,0.313
79,Welsh_springer_spaniel,4116,33,0.401,0.427,0.361,0.32
80,Dingo,4116,33,0.325,0.394,0.354,0.288
81,Lakeland_terrier,4116,36,0.379,0.389,0.352,0.316
82,Basset,4116,32,0.267,0.251,0.342,0.281
83,Malinois,4116,30,0.32,0.4,0.336,0.307
84,Brittany_spaniel,4116,34,0.388,0.206,0.335,0.292
85,Toy_terrier,4116,37,0.387,0.405,0.328,0.269
86,Norfolk_terrier,4116,36,0.397,0.33,0.322,0.285
87,English_setter,4116,31,0.388,0.226,0.318,0.273
88,Pug,4116,34,0.293,0.412,0.315,0.26
89,Cardigan,4116,21,0.358,0.286,0.305,0.252
90,Collie,4116,20,0.23,0.35,0.304,0.283
91,Labrador_retriever,4116,34,0.348,0.294,0.303,0.246
92,Briard,4116,34,0.423,0.235,0.3,0.263
93,Irish_terrier,4116,33,0.33,0.485,0.296,0.255
94,Chihuahua,4116,30,0.705,0.167,0.296,0.235
95,Appenzeller,4116,29,0.289,0.365,0.294,0.247
96,Rhodesian_ridgeback,4116,30,0.3,0.367,0.281,0.235
97,Miniature_schnauzer,4116,39,0.511,0.107,0.279,0.236
98,German_short-haired_pointer,4116,20,0.144,0.4,0.256,0.244
99,Cairn,4116,43,0.296,0.326,0.248,0.216
100,Italian_greyhound,4116,45,0.337,0.244,0.247,0.189
101,Newfoundland,4116,30,0.263,0.3,0.246,0.23
102,Redbone,4116,26,0.25,0.308,0.243,0.176
103,Standard_schnauzer,4116,35,0.42,0.171,0.238,0.224
104,Lhasa,4116,32,0.253,0.375,0.237,0.21
105,Kelpie,4116,42,0.23,0.143,0.22,0.194
106,Whippet,4116,45,0.259,0.2,0.219,0.167
107,Standard_poodle,4116,30,0.32,0.167,0.212,0.174
108,Great_Dane,4116,23,0.195,0.174,0.209,0.157
109,Malamute,4116,29,0.181,0.207,0.193,0.155
110,Irish_wolfhound,4116,45,0.285,0.222,0.191,0.144
111,Soft-coated_wheaten_terrier,4116,31,0.291,0.194,0.187,0.13
112,Eskimo_dog,4116,33,0.0562,0.0303,0.185,0.154
113,Yorkshire_terrier,4116,35,0.216,0.229,0.172,0.141
114,Miniature_poodle,4116,25,0.233,0.28,0.168,0.154
115,Cocker_spaniel,4116,28,0.143,0.107,0.159,0.141
116,Staffordshire_bullterrier,4116,22,0.192,0.273,0.155,0.125
117,Beagle,4116,41,0.197,0.146,0.154,0.119
118,Giant_schnauzer,4116,33,0.231,0.121,0.147,0.132
119,American_Staffordshire_terrier,4116,34,0.224,0.118,0.144,0.123
120,Boxer,4116,24,0.245,0.25,0.14,0.121
