                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78576,                  2.555,                 1.4515,                 0.2185,                0.34455,                0.23014,                0.18857,                0.68255,                 2.2032,                 1.4477,             2.6974e-05,             2.6974e-05,             2.6974e-05
                      2,                 0.7778,                 2.5349,                 1.4406,                0.22842,                0.34688,                 0.2306,                0.18921,                0.67536,                 2.1976,                 1.4399,             5.1836e-05,             5.1836e-05,             5.1836e-05
                      3,                0.77818,                 2.5274,                 1.4441,                0.23336,                0.35295,                0.23694,                0.19572,                0.67112,                 2.1764,                 1.4456,             7.4561e-05,             7.4561e-05,             7.4561e-05
                      4,                0.79156,                 2.5373,                 1.4529,                0.23571,                0.34118,                0.24345,                    0.2,                0.68187,                 2.1658,                 1.4535,             7.1377e-05,             7.1377e-05,             7.1377e-05
                      5,                 0.7907,                 2.5278,                 1.4523,                0.24044,                0.36856,                0.25006,                0.20465,                  0.684,                 2.1288,                 1.4452,             7.1377e-05,             7.1377e-05,             7.1377e-05
                      6,                0.78156,                 2.5093,                 1.4439,                0.23753,                 0.3761,                0.25584,                0.21105,                 0.6766,                 2.1137,                  1.448,              6.817e-05,              6.817e-05,              6.817e-05
                      7,                0.78045,                 2.4902,                 1.4418,                0.25326,                0.37039,                0.25768,                0.21146,                 0.6734,                 2.1103,                 1.4384,             6.4962e-05,             6.4962e-05,             6.4962e-05
                      8,                0.78023,                 2.4792,                 1.4401,                0.25328,                0.36525,                0.26443,                0.21767,                0.66958,                 2.0976,                 1.4422,             6.1754e-05,             6.1754e-05,             6.1754e-05
                      9,                0.77372,                 2.4773,                 1.4345,                0.25803,                0.38994,                0.27345,                0.22613,                0.66971,                 2.0697,                 1.4378,             5.8547e-05,             5.8547e-05,             5.8547e-05
                     10,                0.77372,                 2.4655,                 1.4353,                0.26139,                0.38732,                0.27435,                0.22794,                0.65992,                 2.0543,                 1.4254,             5.5339e-05,             5.5339e-05,             5.5339e-05
                     11,                0.76587,                 2.4506,                  1.432,                0.27156,                0.37678,                0.27809,                 0.2314,                0.66455,                 2.0529,                 1.4387,             5.2132e-05,             5.2132e-05,             5.2132e-05
                     12,                0.76282,                 2.4422,                 1.4265,                0.27178,                0.38316,                0.27998,                0.23244,                0.65829,                 2.0331,                 1.4382,             4.8924e-05,             4.8924e-05,             4.8924e-05
                     13,                0.75677,                 2.4244,                  1.418,                0.27502,                0.39365,                0.28792,                0.23897,                0.65485,                 2.0158,                 1.4198,             4.5716e-05,             4.5716e-05,             4.5716e-05
                     14,                0.75135,                 2.4114,                 1.4176,                0.27081,                 0.3848,                0.28485,                0.23653,                0.65853,                 2.0258,                 1.4303,             4.2509e-05,             4.2509e-05,             4.2509e-05
                     15,                0.74838,                 2.3923,                 1.4136,                0.28771,                0.39036,                0.29337,                0.24452,                0.65076,                 2.0012,                 1.4186,             3.9301e-05,             3.9301e-05,             3.9301e-05
                     16,                0.74013,                 2.3902,                 1.4045,                0.27282,                0.39197,                0.29082,                0.24136,                0.65952,                 2.0137,                 1.4308,             3.6094e-05,             3.6094e-05,             3.6094e-05
                     17,                0.73001,                 2.3602,                  1.396,                0.28471,                 0.3897,                0.29201,                0.24297,                0.65159,                 2.0053,                 1.4204,             3.2886e-05,             3.2886e-05,             3.2886e-05
                     18,                0.72681,                 2.3472,                 1.3937,                0.28323,                0.39048,                0.29741,                0.24714,                0.64888,                 1.9887,                 1.4169,             2.9678e-05,             2.9678e-05,             2.9678e-05
                     19,                0.77015,                 2.4003,                 1.4295,                0.28997,                0.39822,                0.29898,                0.24877,                0.65047,                 1.9871,                 1.4133,             2.6471e-05,             2.6471e-05,             2.6471e-05
                     20,                0.76802,                 2.3925,                 1.4304,                0.29279,                0.39731,                0.30338,                0.25303,                0.65008,                 1.9712,                 1.4189,             2.3263e-05,             2.3263e-05,             2.3263e-05
                     21,                0.60397,                 2.0537,                 1.3383,                 0.2827,                0.39651,                0.30605,                 0.2535,                0.65843,                 1.9728,                 1.4272,             2.0056e-05,             2.0056e-05,             2.0056e-05
                     22,                0.59386,                 2.0117,                 1.3271,                0.29084,                0.39382,                0.30647,                0.25454,                0.64555,                 1.9637,                 1.4143,             1.6848e-05,             1.6848e-05,             1.6848e-05
                     23,                0.58925,                 2.0027,                 1.3254,                 0.2974,                0.39197,                0.30828,                0.25716,                0.64322,                 1.9561,                 1.4095,              1.364e-05,              1.364e-05,              1.364e-05
                     24,                0.58356,                 1.9871,                 1.3168,                0.29502,                0.39803,                 0.3117,                0.25992,                0.64219,                 1.9452,                 1.4086,             1.0433e-05,             1.0433e-05,             1.0433e-05
                     25,                 0.5853,                  1.981,                 1.3174,                0.29409,                0.40254,                0.31309,                0.26153,                0.63967,                  1.945,                 1.4051,             7.2252e-06,             7.2252e-06,             7.2252e-06
