                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8002,                 5.8358,                 3.7202,                0.00313,                0.24598,                0.00386,                0.00164,                    2.1,                 5.0935,                 2.9745,              0.0033301,              0.0033301,              0.0033301
                      2,                 1.6343,                 4.2175,                 2.2904,                0.00426,                0.78245,                0.00846,                0.00472,                 1.5266,                 4.2961,                 2.3329,              0.0065692,              0.0065692,              0.0065692
                      3,                 1.3222,                 3.9945,                 1.9495,                 0.0048,                0.83751,                0.01017,                0.00689,                 1.1669,                 4.1763,                 1.9161,               0.009714,               0.009714,               0.009714
                      4,                 1.1945,                 3.8913,                 1.8257,                0.00497,                0.87803,                0.01319,                0.00869,                  1.142,                 3.9664,                 1.8484,              0.0095757,              0.0095757,              0.0095757
                      5,                 1.1249,                 3.6922,                 1.7598,                0.00578,                0.92745,                0.02136,                 0.0155,                0.99897,                 3.6377,                 1.7344,              0.0095757,              0.0095757,              0.0095757
                      6,                 1.0694,                 3.5447,                 1.7105,                0.25585,                0.08645,                0.02876,                0.02062,                0.95897,                 3.4593,                 1.6886,              0.0094343,              0.0094343,              0.0094343
                      7,                 1.0332,                 3.4417,                 1.6731,                0.40626,                0.06582,                0.04207,                0.03087,                  0.937,                 3.2775,                 1.6882,              0.0092929,              0.0092929,              0.0092929
                      8,                 1.0157,                 3.3392,                 1.6586,                0.35052,                0.08656,                0.04315,                0.03208,                0.86403,                 3.2224,                  1.618,              0.0091514,              0.0091514,              0.0091514
                      9,                0.98437,                 3.2546,                 1.6315,                  0.291,                0.13404,                0.06163,                0.04693,                0.85387,                  3.023,                 1.6427,                0.00901,                0.00901,                0.00901
                     10,                0.96987,                 3.1806,                 1.6218,                0.25308,                0.16667,                0.07119,                0.05465,                 0.8462,                 2.9629,                 1.6177,              0.0088686,              0.0088686,              0.0088686
                     11,                0.94613,                 3.1148,                 1.6035,                0.25475,                0.18561,                0.08487,                0.06517,                0.82371,                 2.8298,                  1.604,              0.0087271,              0.0087271,              0.0087271
                     12,                0.93368,                   3.07,                 1.5886,                0.19954,                0.23199,                0.09535,                 0.0738,                0.81684,                 2.7767,                 1.5812,              0.0085857,              0.0085857,              0.0085857
                     13,                0.91686,                 3.0161,                 1.5666,                0.21644,                0.21887,                0.10295,                0.08046,                 0.7817,                 2.7097,                 1.5737,              0.0084443,              0.0084443,              0.0084443
                     14,                0.90406,                 2.9728,                 1.5625,                0.17968,                0.23628,                0.11199,                  0.088,                0.76577,                 2.6699,                 1.5458,              0.0083029,              0.0083029,              0.0083029
                     15,                0.90122,                 2.9301,                 1.5568,                0.21415,                0.26688,                0.13465,                0.10863,                0.73291,                 2.5643,                 1.5063,              0.0081614,              0.0081614,              0.0081614
                     16,                0.88873,                 2.8969,                 1.5436,                0.17886,                0.25976,                0.15435,                0.12283,                0.74597,                 2.5088,                  1.521,                0.00802,                0.00802,                0.00802
                     17,                0.87877,                 2.8354,                 1.5311,                0.17713,                0.28037,                0.16229,                0.12964,                0.74655,                 2.4558,                 1.5206,              0.0078786,              0.0078786,              0.0078786
                     18,                0.87576,                 2.7972,                 1.5291,                0.19948,                0.30711,                0.19677,                0.15739,                0.73248,                 2.3725,                 1.4956,              0.0077371,              0.0077371,              0.0077371
