class,filename,ymax,xmax,ymin,xmin,width,height
Bernese_mountain_dog,n02107683_5663.jpg,256,399,1,89,500,375
Scotch_terrier,n02097298_9432.jpg,374,439,12,11,500,375
Yorkshire_terrier,n02094433_1772.jpg,413,373,6,13,385,415
Yorkshire_terrier,n02094433_923.jpg,363,422,32,36,500,500
Affenpinscher,n02110627_6414.jpg,193,205,28,8,250,197
Newfoundland,n02111277_2255.jpg,243,237,10,50,400,429
Bloodhound,n02088466_9360.jpg,325,416,92,116,500,375
Standard_schnauzer,n02097209_3089.jpg,329,445,58,7,500,375
Shih-Tzu,n02086240_5352.jpg,498,373,42,0,375,500
Boston_bull,n02096585_2821.jpg,491,308,6,41,339,500
Yorkshire_terrier,n02094433_1210.jpg,374,481,57,1,500,375
Blenheim_spaniel,n02086646_672.jpg,249,222,8,15,244,250
Japanese_spaniel,n02085782_4294.jpg,304,344,26,51,368,317
Briard,n02105251_866.jpg,517,557,6,89,618,525
Bedlington_terrier,n02093647_1120.jpg,362,401,226,293,500,375
German_shepherd,n02106662_18405.jpg,316,438,22,36,500,333
Kelpie,n02105412_7293.jpg,347,249,12,0,252,350
Rhodesian_ridgeback,n02087394_16736.jpg,382,241,107,0,375,500
Wire-haired_fox_terrier,n02095314_2139.jpg,40,200,1,166,400,266
Bernese_mountain_dog,n02107683_4347.jpg,450,369,137,70,398,500
Otterhound,n02091635_1726.jpg,230,253,1,0,257,232
Sealyham_terrier,n02095889_4680.jpg,223,299,0,8,300,224
Redbone,n02090379_4388.jpg,277,495,114,16,500,375
Appenzeller,n02107908_7205.jpg,332,499,0,69,500,333
Bluetick,n02088632_3230.jpg,374,346,72,36,500,375
Walker_hound,n02089867_712.jpg,287,287,10,1,288,288
Giant_schnauzer,n02097130_6156.jpg,365,499,59,14,500,375
Tibetan_mastiff,n02108551_2326.jpg,1002,691,106,172,864,1152
Giant_schnauzer,n02097130_603.jpg,373,357,67,113,500,375
Lakeland_terrier,n02095570_1765.jpg,357,435,9,77,500,375
Brabancon_griffon,n02112706_898.jpg,241,216,59,95,340,279
Irish_terrier,n02093991_3735.jpg,373,331,82,105,500,375
Bluetick,n02088632_4633.jpg,396,348,0,0,500,398
Lakeland_terrier,n02095570_4183.jpg,328,432,46,133,500,329
Cocker_spaniel,n02102318_2030.jpg,498,313,173,0,333,500
Malamute,n02110063_8757.jpg,289,414,124,174,500,375
Toy_terrier,n02087046_4039.jpg,335,236,8,25,245,340
Shetland_sheepdog,n02105855_15961.jpg,497,372,1,57,375,500
Border_terrier,n02093754_3888.jpg,498,172,162,1,375,500
Basenji,n02110806_4888.jpg,412,287,82,150,375,500
Cardigan,n02113186_5242.jpg,322,348,103,221,500,375
Brittany_spaniel,n02101388_8691.jpg,448,295,227,16,333,500
Appenzeller,n02107908_7690.jpg,328,357,36,79,500,333
Great_Dane,n02109047_6265.jpg,447,541,162,238,600,450
